,away_score,away_offense_batting,away_offense_base,away_offense_defense,away_offense_pitch,away_defense_batting,away_defense_base,away_defense_defense,away_defense_pitch,home_score,home_offense_batting,home_offense_base,home_offense_defense,home_offense_pitch,home_defense_batting,home_defense_base,home_defense_defense,home_defense_pitch
0,2,0.47697759974298776,0.4261997542820892,0.4636754943008446,0.2948943747067683,0.47697759974298776,0.4261997542820892,0.4636754943008446,0.2948943747067683,4,0.47697759974298776,0.4261997542820892,0.4636754943008446,0.2948943747067683,0.47697759974298776,0.4261997542820892,0.4636754943008446,0.2948943747067683
1,2,0.4068932984234195,0.4534698039597947,0.5531370618912497,0.330467954366235,0.4068932984234195,0.4534698039597947,0.5531370618912497,0.330467954366235,5,0.4068932984234195,0.4534698039597947,0.5531370618912497,0.330467954366235,0.4068932984234195,0.4534698039597947,0.5531370618912497,0.330467954366235
2,2,0.4401235802487553,0.5166340388093519,0.5592677791893625,0.3280057187744156,0.4401235802487553,0.5166340388093519,0.5592677791893625,0.3280057187744156,5,0.4401235802487553,0.5166340388093519,0.5592677791893625,0.3280057187744156,0.4401235802487553,0.5166340388093519,0.5592677791893625,0.3280057187744156
3,4,0.47066323916269237,0.4075098980316111,0.5047095117567599,0.38385559015656756,0.47066323916269237,0.4075098980316111,0.5047095117567599,0.38385559015656756,6,0.47066323916269237,0.4075098980316111,0.5047095117567599,0.38385559015656756,0.47066323916269237,0.4075098980316111,0.5047095117567599,0.38385559015656756
4,6,0.43045761825184187,0.47502777160633786,0.5640030601896835,0.4109797686456472,0.43045761825184187,0.47502777160633786,0.5640030601896835,0.4109797686456472,1,0.43045761825184187,0.47502777160633786,0.5640030601896835,0.4109797686456472,0.43045761825184187,0.47502777160633786,0.5640030601896835,0.4109797686456472
5,1,0.4287006290539004,0.48204073404777087,0.4403235467059787,0.4975313856262608,0.4287006290539004,0.48204073404777087,0.4403235467059787,0.4975313856262608,2,0.4287006290539004,0.48204073404777087,0.4403235467059787,0.4975313856262608,0.4287006290539004,0.48204073404777087,0.4403235467059787,0.4975313856262608
6,6,0.39172313769698786,0.49256642666919587,0.5450719468085837,0.28776755037930235,0.39172313769698786,0.49256642666919587,0.5450719468085837,0.28776755037930235,7,0.39172313769698786,0.49256642666919587,0.5450719468085837,0.28776755037930235,0.39172313769698786,0.49256642666919587,0.5450719468085837,0.28776755037930235
7,5,0.3744204833127882,0.34491389606747075,0.4480275063645477,0.3008105013968587,0.3744204833127882,0.34491389606747075,0.4480275063645477,0.3008105013968587,4,0.3744204833127882,0.34491389606747075,0.4480275063645477,0.3008105013968587,0.3744204833127882,0.34491389606747075,0.4480275063645477,0.3008105013968587
8,3,0.5614366508596065,0.4416305909919026,0.4736931573858687,0.27493329738070327,0.5614366508596065,0.4416305909919026,0.4736931573858687,0.27493329738070327,9,0.5614366508596065,0.4416305909919026,0.4736931573858687,0.27493329738070327,0.5614366508596065,0.4416305909919026,0.4736931573858687,0.27493329738070327
9,5,0.4701108140328647,0.5136535678804098,0.5127692747775252,0.3319692680228708,0.4701108140328647,0.5136535678804098,0.5127692747775252,0.3319692680228708,2,0.4701108140328647,0.5136535678804098,0.5127692747775252,0.3319692680228708,0.4701108140328647,0.5136535678804098,0.5127692747775252,0.3319692680228708
10,3,0.47697759974298776,0.4261997542820892,0.4636754943008446,0.2948943747067683,0.47697759974298776,0.4261997542820892,0.4636754943008446,0.2948943747067683,10,0.47697759974298776,0.4261997542820892,0.4636754943008446,0.2948943747067683,0.47697759974298776,0.4261997542820892,0.4636754943008446,0.2948943747067683
11,1,0.4068932984234195,0.4534698039597947,0.5531370618912497,0.330467954366235,0.4068932984234195,0.4534698039597947,0.5531370618912497,0.330467954366235,3,0.4068932984234195,0.4534698039597947,0.5531370618912497,0.330467954366235,0.4068932984234195,0.4534698039597947,0.5531370618912497,0.330467954366235
12,1,0.4401235802487553,0.5166340388093519,0.5592677791893625,0.3280057187744156,0.4401235802487553,0.5166340388093519,0.5592677791893625,0.3280057187744156,3,0.4401235802487553,0.5166340388093519,0.5592677791893625,0.3280057187744156,0.4401235802487553,0.5166340388093519,0.5592677791893625,0.3280057187744156
13,1,0.47066323916269237,0.4075098980316111,0.5047095117567599,0.38385559015656756,0.47066323916269237,0.4075098980316111,0.5047095117567599,0.38385559015656756,3,0.47066323916269237,0.4075098980316111,0.5047095117567599,0.38385559015656756,0.47066323916269237,0.4075098980316111,0.5047095117567599,0.38385559015656756
14,5,0.43045761825184187,0.47502777160633786,0.5640030601896835,0.4109797686456472,0.43045761825184187,0.47502777160633786,0.5640030601896835,0.4109797686456472,3,0.43045761825184187,0.47502777160633786,0.5640030601896835,0.4109797686456472,0.43045761825184187,0.47502777160633786,0.5640030601896835,0.4109797686456472
15,2,0.4287006290539004,0.48204073404777087,0.4403235467059787,0.4975313856262608,0.4287006290539004,0.48204073404777087,0.4403235467059787,0.4975313856262608,9,0.4287006290539004,0.48204073404777087,0.4403235467059787,0.4975313856262608,0.4287006290539004,0.48204073404777087,0.4403235467059787,0.4975313856262608
16,0,0.39172313769698786,0.49256642666919587,0.5450719468085837,0.28776755037930235,0.39172313769698786,0.49256642666919587,0.5450719468085837,0.28776755037930235,15,0.39172313769698786,0.49256642666919587,0.5450719468085837,0.28776755037930235,0.39172313769698786,0.49256642666919587,0.5450719468085837,0.28776755037930235
